T1,T2,T3,T4
1522324940322,1522324940436,1522324940437,1522324940627
1522324940627,1522324940743,1522324940743,1522324940934
1522324940934,1522324941051,1522324941051,1522324941241
1522324941241,1522324941358,1522324941358,1522324941548
1522324941548,1522324941669,1522324941669,1522324941855
1522324941855,1522324941972,1522324941972,1522324942163
1522324942163,1522324942279,1522324942279,1522324942470
1522324942470,1522324942586,1522324942586,1522324942777
1522324942777,1522324942894,1522324942894,1522324943084
1522324943084,1522324943200,1522324943201,1522324943391
1522324943391,1522324943506,1522324943507,1522324943699
1522324943699,1522324943815,1522324943815,1522324944005
1522324944005,1522324944122,1522324944122,1522324944239
1522324944239,1522324944351,1522324944351,1522324944466
1522324944466,1522324944578,1522324944579,1522324944696
1522324944696,1522324944811,1522324944811,1522324944927
1522324944927,1522324945044,1522324945044,1522324945160
1522324945160,1522324945273,1522324945274,1522324945439
1522324945439,1522324945555,1522324945556,1522324945746
1522324945746,1522324945864,1522324945864,1522324946054
1522324946054,1522324946168,1522324946168,1522324946361
1522324946361,1522324946476,1522324946477,1522324946669
1522324946669,1522324946787,1522324946787,1522324946975
1522324946975,1522324947091,1522324947091,1522324947207
1522324947207,1522324947321,1522324947321,1522324947487
1522324947487,1522324947609,1522324947609,1522324947794
1522324947794,1522324947909,1522324947909,1522324948102
1522324948102,1522324948219,1522324948219,1522324948411
1522324948411,1522324948537,1522324948537,1522324948716
1522324948716,1522324948832,1522324948832,1522324949023
1522324949023,1522324949139,1522324949139,1522324949330
1522324949330,1522324949447,1522324949447,1522324949638
1522324949638,1522324949753,1522324949753,1522324949945
1522324949945,1522324950061,1522324950061,1522324950252
1522324950252,1522324950370,1522324950370,1522324950491
1522324950491,1522324950606,1522324950606,1522324950764
1522324950764,1522324950881,1522324950881,1522324951071
1522324951071,1522324951187,1522324951187,1522324951378
1522324951378,1522324951502,1522324951502,1522324951695
1522324951695,1522324951822,1522324951822,1522324951938
1522324951938,1522324952057,1522324952057,1522324952198
1522324952198,1522324952316,1522324952316,1522324952431
1522324952431,1522324952549,1522324952550,1522324952665
1522324952665,1522324952783,1522324952783,1522324952898
1522324952898,1522324953018,1522324953019,1522324953134
1522324953134,1522324953251,1522324953251,1522324953366
1522324953366,1522324953481,1522324953481,1522324953596
1522324953596,1522324953712,1522324953712,1522324953828
1522324953828,1522324953944,1522324953944,1522324954059
1522324954059,1522324954176,1522324954177,1522324954292
1522324954292,1522324954405,1522324954405,1522324954520
1522324954520,1522324954638,1522324954638,1522324954753
1522324954753,1522324954872,1522324954872,1522324954988
1522324954989,1522324955107,1522324955107,1522324955222
1522324955222,1522324955338,1522324955338,1522324955454
1522324955454,1522324955569,1522324955569,1522324955685
1522324955685,1522324955799,1522324955799,1522324955916
1522324955916,1522324956031,1522324956031,1522324956146
1522324956146,1522324956262,1522324956262,1522324956378
1522324956378,1522324956495,1522324956495,1522324956611
1522324956611,1522324956728,1522324956728,1522324956843
1522324956843,1522324956960,1522324956960,1522324957076
1522324957076,1522324957191,1522324957191,1522324957306
1522324957306,1522324957422,1522324957423,1522324957538
1522324957538,1522324957655,1522324957655,1522324957770
1522324957770,1522324957887,1522324957887,1522324958003
1522324958003,1522324958124,1522324958124,1522324958240
1522324958240,1522324958355,1522324958355,1522324958470
1522324958470,1522324958586,1522324958586,1522324958702
1522324958702,1522324958818,1522324958818,1522324958933
1522324958933,1522324959051,1522324959051,1522324959166
1522324959166,1522324959281,1522324959282,1522324959397
1522324959397,1522324959513,1522324959513,1522324959628
1522324959628,1522324959745,1522324959745,1522324959860
1522324959860,1522324959975,1522324959975,1522324960090
1522324960090,1522324960207,1522324960207,1522324960322
1522324960322,1522324960439,1522324960439,1522324960554
1522324960554,1522324960671,1522324960671,1522324960786
1522324960786,1522324960903,1522324960903,1522324961018
1522324961018,1522324961134,1522324961134,1522324961249
1522324961249,1522324961362,1522324961363,1522324961478
1522324961478,1522324961593,1522324961593,1522324961708
1522324961708,1522324961825,1522324961825,1522324962028
1522324962028,1522324962143,1522324962143,1522324962357
1522324962358,1522324962480,1522324962480,1522324962643
1522324962643,1522324962759,1522324962759,1522324962875
1522324962876,1522324962991,1522324962991,1522324963106
1522324963106,1522324963219,1522324963219,1522324963359
1522324963359,1522324963479,1522324963479,1522324963666
1522324963666,1522324963784,1522324963784,1522324963973
1522324963974,1522324964089,1522324964089,1522324964281
1522324964281,1522324964397,1522324964398,1522324964589
1522324964589,1522324964707,1522324964707,1522324964895
1522324964895,1522324965013,1522324965013,1522324965202
