T1, T2, T3, T4
1522324653817,1522324653927,1522324653928,1522324654117
1522324654117,1522324654225,1522324654225,1522324654422
1522324654422,1522324654531,1522324654531,1522324654655
1522324654655,1522324654760,1522324654760,1522324654884
1522324654884,1522324654988,1522324654988,1522324655112
1522324655112,1522324655214,1522324655214,1522324655339
1522324655339,1522324655447,1522324655447,1522324655571
1522324655571,1522324655678,1522324655678,1522324655801
1522324655801,1522324655902,1522324655902,1522324656026
1522324656026,1522324656130,1522324656130,1522324656256
1522324656256,1522324656364,1522324656364,1522324656488
1522324656488,1522324656592,1522324656592,1522324656716
1522324656716,1522324656820,1522324656820,1522324656944
1522324656944,1522324657048,1522324657048,1522324657172
1522324657172,1522324657279,1522324657279,1522324657494
1522324657494,1522324657601,1522324657601,1522324657801
1522324657801,1522324657910,1522324657910,1522324658109
1522324658109,1522324658220,1522324658220,1522324658416
1522324658416,1522324658524,1522324658524,1522324658723
1522324658723,1522324658832,1522324658832,1522324659032
1522324659032,1522324659143,1522324659143,1522324659337
1522324659337,1522324659445,1522324659445,1522324659644
1522324659645,1522324659753,1522324659753,1522324659952
1522324659952,1522324660063,1522324660063,1522324660260
1522324660260,1522324660370,1522324660370,1522324660494
1522324660494,1522324660599,1522324660599,1522324660771
1522324660771,1522324660877,1522324660877,1522324661078
1522324661078,1522324661187,1522324661187,1522324661385
1522324661385,1522324661493,1522324661493,1522324661692
1522324661692,1522324661801,1522324661801,1522324661924
1522324661924,1522324662032,1522324662032,1522324662156
1522324662156,1522324662261,1522324662261,1522324662409
1522324662409,1522324662517,1522324662517,1522324662819
1522324662819,1522324662927,1522324662927,1522324663126
1522324663126,1522324663234,1522324663234,1522324663433
1522324663433,1522324663541,1522324663541,1522324663741
1522324663742,1522324663850,1522324663850,1522324664048
1522324664048,1522324664160,1522324664160,1522324664283
1522324664283,1522324664383,1522324664383,1522324664560
1522324664560,1522324664669,1522324664669,1522324664792
1522324664793,1522324664897,1522324664897,1522324665072
1522324665072,1522324665179,1522324665180,1522324665379
1522324665379,1522324665486,1522324665486,1522324665686
