T1,T2,T3,T4
1522327776898,1522327777037,1522327777037,1522327777178
1522327777179,1522327777317,1522327777317,1522327777458
1522327777458,1522327777596,1522327777596,1522327777737
1522327777737,1522327777876,1522327777876,1522327778017
1522327778017,1522327778155,1522327778156,1522327778297
1522327778298,1522327778436,1522327778436,1522327778577
1522327778577,1522327778715,1522327778715,1522327778857
1522327778857,1522327778995,1522327778995,1522327779136
1522327779136,1522327779275,1522327779275,1522327779421
1522327779422,1522327779560,1522327779560,1522327779702
1522327779702,1522327779840,1522327779840,1522327779981
1522327779981,1522327780120,1522327780120,1522327780261
1522327780261,1522327780400,1522327780401,1522327780542
1522327780542,1522327780680,1522327780681,1522327780822
1522327780822,1522327780961,1522327780961,1522327781104
1522327781104,1522327781243,1522327781243,1522327781384
1522327781384,1522327781524,1522327781525,1522327781667
1522327781667,1522327781805,1522327781806,1522327781947
1522327781947,1522327782086,1522327782086,1522327782227
1522327782227,1522327782365,1522327782365,1522327782507
1522327782507,1522327782645,1522327782645,1522327782786
1522327782787,1522327782925,1522327782925,1522327783067
1522327783067,1522327783205,1522327783206,1522327783347
1522327783347,1522327783485,1522327783485,1522327783627
1522327783627,1522327783765,1522327783765,1522327783907
1522327783907,1522327784046,1522327784046,1522327784187
1522327784187,1522327784326,1522327784326,1522327784467
1522327784467,1522327784605,1522327784605,1522327784746
1522327784746,1522327784885,1522327784885,1522327785026
1522327785026,1522327785165,1522327785165,1522327785337
1522327785337,1522327785476,1522327785476,1522327785617
1522327785617,1522327785756,1522327785757,1522327785898
1522327785898,1522327786036,1522327786036,1522327786182
1522327786182,1522327786321,1522327786321,1522327786462
1522327786462,1522327786601,1522327786601,1522327786744
1522327786744,1522327786883,1522327786883,1522327787024
1522327787024,1522327787163,1522327787163,1522327787305
1522327787305,1522327787443,1522327787443,1522327787585
1522327787585,1522327787723,1522327787723,1522327787866
1522327787866,1522327788005,1522327788005,1522327788147
1522327788147,1522327788285,1522327788285,1522327788426
1522327788426,1522327788565,1522327788565,1522327788706
1522327788706,1522327788844,1522327788844,1522327788986
1522327788986,1522327789124,1522327789125,1522327789266
1522327789266,1522327789404,1522327789405,1522327789546
1522327789546,1522327789685,1522327789685,1522327789826
1522327789826,1522327789964,1522327789964,1522327790107
1522327790107,1522327790246,1522327790246,1522327790394
1522327790394,1522327790534,1522327790534,1522327790677
1522327790677,1522327790816,1522327790816,1522327790957
1522327790957,1522327791096,1522327791096,1522327791237
1522327791237,1522327791375,1522327791376,1522327791517
1522327791517,1522327791655,1522327791656,1522327791796
1522327791796,1522327791935,1522327791935,1522327792076
1522327792076,1522327792214,1522327792214,1522327792355
1522327792355,1522327792494,1522327792494,1522327792636
1522327792636,1522327792774,1522327792774,1522327792915
1522327792915,1522327793054,1522327793054,1522327793195
1522327793195,1522327793334,1522327793334,1522327793475
1522327793475,1522327793613,1522327793613,1522327793759
1522327793759,1522327793898,1522327793898,1522327794042
1522327794042,1522327794181,1522327794181,1522327794322
1522327794322,1522327794461,1522327794461,1522327794602
1522327794602,1522327794740,1522327794740,1522327794882
1522327794882,1522327795020,1522327795021,1522327795162
1522327795162,1522327795300,1522327795300,1522327795442
1522327795442,1522327795580,1522327795580,1522327795721
1522327795722,1522327795860,1522327795860,1522327796002
1522327796002,1522327796140,1522327796140,1522327796281
1522327796281,1522327796421,1522327796421,1522327796563
1522327796563,1522327796702,1522327796702,1522327796843
1522327796843,1522327796982,1522327796982,1522327797123
1522327797123,1522327797261,1522327797262,1522327797403
1522327797403,1522327797541,1522327797541,1522327797682
1522327797682,1522327797820,1522327797821,1522327797962
1522327797962,1522327798100,1522327798101,1522327798243
1522327798243,1522327798381,1522327798382,1522327798523
1522327798523,1522327798661,1522327798661,1522327798802
1522327798802,1522327798941,1522327798941,1522327799082
1522327799082,1522327799220,1522327799220,1522327799361
1522327799361,1522327799500,1522327799500,1522327799641
1522327799641,1522327799780,1522327799780,1522327799921
1522327799921,1522327800060,1522327800060,1522327800201
1522327800201,1522327800339,1522327800339,1522327800481
1522327800481,1522327800619,1522327800619,1522327800761
1522327800761,1522327800900,1522327800900,1522327801042
1522327801042,1522327801181,1522327801181,1522327801323
1522327801323,1522327801462,1522327801462,1522327801611
1522327801611,1522327801751,1522327801751,1522327801892
1522327801892,1522327802031,1522327802031,1522327802173
1522327802174,1522327802312,1522327802312,1522327802454
1522327802454,1522327802594,1522327802594,1522327802736
1522327802736,1522327802875,1522327802875,1522327803017
1522327803017,1522327803155,1522327803156,1522327803299
1522327803299,1522327803438,1522327803438,1522327803579
1522327803579,1522327803718,1522327803718,1522327803859
1522327803859,1522327803998,1522327803998,1522327804139
1522327804139,1522327804277,1522327804278,1522327804419
1522327804419,1522327804557,1522327804557,1522327804698
1522327804698,1522327804837,1522327804837,1522327804978
1522327804978,1522327805117,1522327805117,1522327805258
1522327805258,1522327805396,1522327805396,1522327805537
1522327805537,1522327805675,1522327805676,1522327805817
1522327805817,1522327805957,1522327805957,1522327806098
1522327806098,1522327806238,1522327806238,1522327806379
1522327806379,1522327806517,1522327806517,1522327806659
1522327806659,1522327806798,1522327806798,1522327806939
1522327806939,1522327807078,1522327807078,1522327807219
1522327807219,1522327807358,1522327807358,1522327807499
1522327807499,1522327807637,1522327807638,1522327807779
1522327807779,1522327807917,1522327807917,1522327808058
1522327808058,1522327808197,1522327808197,1522327808338
1522327808338,1522327808476,1522327808476,1522327808618
1522327808618,1522327808756,1522327808756,1522327808897
1522327808897,1522327809036,1522327809036,1522327809177
1522327809177,1522327809316,1522327809316,1522327809457
1522327809457,1522327809596,1522327809596,1522327809737
1522327809737,1522327809875,1522327809876,1522327810017
1522327810017,1522327810156,1522327810156,1522327810297
1522327810297,1522327810436,1522327810436,1522327810577
1522327810577,1522327810715,1522327810716,1522327810863
1522327810863,1522327811003,1522327811003,1522327811145
1522327811145,1522327811283,1522327811283,1522327811425
1522327811425,1522327811564,1522327811564,1522327811705
