T1, T2, T3, T4
1522326933374,1522326933512,1522326933513,1522326933653
1522326933653,1522326933792,1522326933792,1522326933933
1522326933933,1522326934071,1522326934071,1522326934212
1522326934212,1522326934350,1522326934350,1522326934492
1522326934492,1522326934630,1522326934631,1522326934771
1522326934772,1522326934910,1522326934910,1522326935051
1522326935051,1522326935189,1522326935190,1522326935331
1522326935331,1522326935469,1522326935469,1522326935611
1522326935611,1522326935750,1522326935750,1522326935891
1522326935891,1522326936029,1522326936029,1522326936170
1522326936170,1522326936308,1522326936308,1522326936449
1522326936449,1522326936587,1522326936588,1522326936729
1522326936729,1522326936867,1522326936868,1522326937009
1522326937009,1522326937148,1522326937148,1522326937289
1522326937289,1522326937427,1522326937427,1522326937568
1522326937568,1522326937706,1522326937707,1522326937848
1522326937848,1522326937986,1522326937986,1522326938127
1522326938127,1522326938266,1522326938266,1522326938407
1522326938407,1522326938545,1522326938545,1522326938686
1522326938686,1522326938824,1522326938825,1522326938966
1522326938966,1522326939104,1522326939104,1522326939246
1522326939246,1522326939384,1522326939384,1522326939526
1522326939526,1522326939665,1522326939665,1522326939806
1522326939806,1522326939944,1522326939945,1522326940086
1522326940086,1522326940225,1522326940226,1522326940367
1522326940367,1522326940505,1522326940505,1522326940647
1522326940647,1522326940785,1522326940785,1522326940927
1522326940927,1522326941065,1522326941065,1522326941206
1522326941206,1522326941345,1522326941345,1522326941487
1522326941487,1522326941625,1522326941625,1522326941766
1522326941766,1522326941904,1522326941904,1522326942045
1522326942045,1522326942184,1522326942184,1522326942325
1522326942325,1522326942463,1522326942463,1522326942605
1522326942605,1522326942744,1522326942744,1522326942885
1522326942885,1522326943023,1522326943024,1522326943165
1522326943165,1522326943304,1522326943304,1522326943445
1522326943446,1522326943584,1522326943584,1522326943725
1522326943725,1522326943865,1522326943865,1522326944006
1522326944006,1522326944144,1522326944145,1522326944287
1522326944287,1522326944425,1522326944425,1522326944566
1522326944566,1522326944705,1522326944705,1522326944846
1522326944846,1522326944985,1522326944985,1522326945126
1522326945126,1522326945264,1522326945264,1522326945405
1522326945406,1522326945544,1522326945544,1522326945685
1522326945685,1522326945823,1522326945823,1522326945964
1522326945964,1522326946102,1522326946102,1522326946243
1522326946244,1522326946382,1522326946382,1522326946523
1522326946523,1522326946661,1522326946661,1522326946802
1522326946802,1522326946940,1522326946940,1522326947081
1522326947082,1522326947220,1522326947220,1522326947361
1522326947361,1522326947499,1522326947499,1522326947640
1522326947640,1522326947779,1522326947779,1522326947920
1522326947920,1522326948058,1522326948058,1522326948199
1522326948199,1522326948337,1522326948337,1522326948478
1522326948478,1522326948617,1522326948617,1522326948758
1522326948758,1522326948897,1522326948897,1522326949038
1522326949038,1522326949176,1522326949176,1522326949318
1522326949318,1522326949456,1522326949456,1522326949597
