T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326057580,1522326057724,1522326057724,1522326057813
1522326057813,1522326059073,1522326059073,1522326059162
1522326059162,1522326059305,1522326059305,1522326059394
1522326059394,1522326059537,1522326059537,1522326059625
1522326059625,1522326059773,1522326059773,1522326059861
1522326059861,1522326060006,1522326060006,1522326060096
1522326060096,1522326060243,1522326060243,1522326060340
1522326060340,1522326060492,1522326060492,1522326060581
1522326060581,1522326060724,1522326060724,1522326060814
1522326060815,1522326060963,1522326060963,1522326061051
1522326061051,1522326061199,1522326061199,1522326061288
1522326061288,1522326061438,1522326061438,1522326061526
1522326061526,1522326061675,1522326061675,1522326061763
1522326061763,1522326061908,1522326061908,1522326061996
1522326061996,1522326062141,1522326062141,1522326062230
1522326062230,1522326062379,1522326062379,1522326062467
1522326062467,1522326062616,1522326062616,1522326062706
1522326062706,1522326062862,1522326062862,1522326062950
1522326062950,1522326063094,1522326063094,1522326063183
1522326063183,1522326063334,1522326063334,1522326063422
1522326063422,1522326063576,1522326063576,1522326063667
1522326063667,1522326063819,1522326063819,1522326063911
1522326063911,1522326064057,1522326064057,1522326064145
1522326064146,1522326064289,1522326064289,1522326064379
1522326064379,1522326064521,1522326064521,1522326064609
1522326064609,1522326064750,1522326064750,1522326064839
1522326064840,1522326064984,1522326064984,1522326065072
1522326065072,1522326065214,1522326065214,1522326065302
1522326065302,1522326065444,1522326065444,1522326065532
1522326065532,1522326065673,1522326065673,1522326065762
1522326065762,1522326065931,1522326065931,1522326066019
1522326066019,1522326066161,1522326066161,1522326066250
1522326066250,1522326066390,1522326066390,1522326066478
1522326066478,1522326066620,1522326066620,1522326066710
1522326066710,1522326066852,1522326066852,1522326066940
1522326066940,1522326067083,1522326067083,1522326067171
1522326067171,1522326067312,1522326067312,1522326067405
1522326067405,1522326067549,1522326067549,1522326067637
1522326067637,1522326067780,1522326067780,1522326067868
1522326067868,1522326068010,1522326068010,1522326068097
1522326068098,1522326068238,1522326068239,1522326068326
1522326068326,1522326068470,1522326068470,1522326068558
1522326068558,1522326068702,1522326068702,1522326068790
1522326068790,1522326068932,1522326068932,1522326069021
1522326069021,1522326069164,1522326069164,1522326069252
1522326069252,1522326069394,1522326069394,1522326069482
1522326069482,1522326069623,1522326069623,1522326069712
1522326069712,1522326069855,1522326069855,1522326069943
1522326069943,1522326070087,1522326070087,1522326070174
1522326070174,1522326070317,1522326070317,1522326070405
1522326070405,1522326070542,1522326070542,1522326070630
1522326070630,1522326070772,1522326070772,1522326070915
1522326070915,1522326071057,1522326071057,1522326071222
1522326071222,1522326071364,1522326071364,1522326071529
1522326071529,1522326071667,1522326071667,1522326071836
1522326071837,1522326071978,1522326071979,1522326072144
1522326072144,1522326072287,1522326072287,1522326072451
1522326072451,1522326072594,1522326072594,1522326072758
1522326072758,1522326072901,1522326072901,1522326072995
1522326072995,1522326073137,1522326073137,1522326073270
1522326073270,1522326073412,1522326073412,1522326073579
1522326073580,1522326073721,1522326073721,1522326073885
1522326073885,1522326074027,1522326074027,1522326074192
1522326074192,1522326074333,1522326074333,1522326074503
1522326074503,1522326074649,1522326074649,1522326074806
1522326074806,1522326074949,1522326074949,1522326075113
1522326075113,1522326075256,1522326075256,1522326075422
1522326075422,1522326075567,1522326075567,1522326075728
1522326075728,1522326075870,1522326075870,1522326076035
1522326076035,1522326076175,1522326076175,1522326076342
1522326076343,1522326076485,1522326076485,1522326076649
1522326076649,1522326076791,1522326076791,1522326076957
1522326076957,1522326077099,1522326077099,1522326077264
1522326077264,1522326077407,1522326077407,1522326077571
1522326077571,1522326077714,1522326077714,1522326077878
1522326077878,1522326078023,1522326078023,1522326078185
1522326078185,1522326078328,1522326078328,1522326078416
1522326078416,1522326078558,1522326078558,1522326078697
1522326078697,1522326078841,1522326078841,1522326079005
1522326079005,1522326079145,1522326079145,1522326079312
1522326079312,1522326079454,1522326079454,1522326079623
1522326079623,1522326079769,1522326079769,1522326080029
1522326080029,1522326080171,1522326080171,1522326080336
1522326080336,1522326080477,1522326080477,1522326080643
1522326080643,1522326080785,1522326080785,1522326080950
1522326080950,1522326081094,1522326081094,1522326081257
1522326081257,1522326081400,1522326081400,1522326081564
1522326081564,1522326081706,1522326081706,1522326081874
1522326081874,1522326082017,1522326082017,1522326082105
1522326082105,1522326082247,1522326082247,1522326082384
1522326082384,1522326082528,1522326082528,1522326082615
1522326082615,1522326082758,1522326082758,1522326082896
1522326082896,1522326083037,1522326083037,1522326083203
1522326083203,1522326083345,1522326083345,1522326083511
1522326083511,1522326083653,1522326083653,1522326083817
1522326083818,1522326083964,1522326083964,1522326084124
1522326084125,1522326084269,1522326084269,1522326084432
1522326084432,1522326084577,1522326084577,1522326084739
1522326084739,1522326084881,1522326084881,1522326085052
1522326085052,1522326085196,1522326085196,1522326085353
1522326085353,1522326085493,1522326085493,1522326085661
1522326085661,1522326085803,1522326085803,1522326085970
1522326085970,1522326086113,1522326086113,1522326086275
1522326086275,1522326086417,1522326086417,1522326086582
1522326086582,1522326086728,1522326086728,1522326086889
1522326086889,1522326087030,1522326087030,1522326087122
1522326087123,1522326087275,1522326087275,1522326087401
1522326087401,1522326087544,1522326087545,1522326087711
1522326087711,1522326087857,1522326087857,1522326088016
1522326088016,1522326088159,1522326088159,1522326088323
1522326088323,1522326088465,1522326088465,1522326088630
1522326088630,1522326088774,1522326088774,1522326088937
1522326088937,1522326089079,1522326089079,1522326089245
1522326089245,1522326089387,1522326089387,1522326089552
1522326089552,1522326089695,1522326089695,1522326089782
1522326089782,1522326089925,1522326089925,1522326090065
