T1,T2,T3,T4
1522325218837,1522325218959,1522325218959,1522325219061
1522325219061,1522325219188,1522325219188,1522325219291
1522325219291,1522325219419,1522325219419,1522325219521
1522325219521,1522325219649,1522325219649,1522325219751
1522325219751,1522325219875,1522325219875,1522325219978
1522325219978,1522325220105,1522325220105,1522325220207
1522325220207,1522325220335,1522325220335,1522325220443
1522325220443,1522325220573,1522325220573,1522325220680
1522325220680,1522325220804,1522325220804,1522325220906
1522325220906,1522325221031,1522325221032,1522325221134
1522325221134,1522325221258,1522325221258,1522325221360
1522325221360,1522325221487,1522325221487,1522325221589
1522325221589,1522325221715,1522325221715,1522325221817
1522325221817,1522325221943,1522325221943,1522325222047
1522325222047,1522325222174,1522325222174,1522325222276
1522325222276,1522325222402,1522325222402,1522325222508
1522325222508,1522325222630,1522325222630,1522325222733
1522325222733,1522325222859,1522325222859,1522325222963
1522325222963,1522325223089,1522325223089,1522325223192
1522325223192,1522325223318,1522325223318,1522325223421
1522325223421,1522325223549,1522325223550,1522325223659
1522325223659,1522325223791,1522325223791,1522325223966
1522325223966,1522325224092,1522325224092,1522325224273
1522325224273,1522325224400,1522325224400,1522325224583
1522325224583,1522325224708,1522325224708,1522325224887
1522325224887,1522325225012,1522325225012,1522325225194
1522325225194,1522325225320,1522325225320,1522325225502
1522325225502,1522325225630,1522325225630,1522325225821
1522325225821,1522325225952,1522325225952,1522325226116
1522325226116,1522325226242,1522325226242,1522325226525
1522325226525,1522325226652,1522325226652,1522325226833
1522325226833,1522325226960,1522325226960,1522325227140
1522325227140,1522325227267,1522325227267,1522325227447
1522325227447,1522325227575,1522325227575,1522325227754
1522325227754,1522325227883,1522325227883,1522325228061
1522325228061,1522325228189,1522325228189,1522325228368
1522325228368,1522325228497,1522325228497,1522325228676
1522325228676,1522325228801,1522325228801,1522325228983
1522325228983,1522325229107,1522325229107,1522325229290
1522325229290,1522325229416,1522325229416,1522325229600
1522325229600,1522325229726,1522325229726,1522325229904
1522325229904,1522325230029,1522325230029,1522325230212
1522325230212,1522325230338,1522325230338,1522325230519
1522325230519,1522325230648,1522325230648,1522325230826
1522325230826,1522325230952,1522325230952,1522325231133
1522325231133,1522325231259,1522325231259,1522325231440
1522325231441,1522325231567,1522325231567,1522325231669
1522325231669,1522325231796,1522325231796,1522325231953
1522325231953,1522325232074,1522325232074,1522325232238
1522325232238,1522325232365,1522325232365,1522325232566
1522325232566,1522325232693,1522325232693,1522325232874
1522325232874,1522325232999,1522325232999,1522325233197
1522325233197,1522325233331,1522325233331,1522325233489
1522325233489,1522325233616,1522325233616,1522325233813
1522325233813,1522325233943,1522325233943,1522325234103
1522325234103,1522325234228,1522325234228,1522325234417
1522325234417,1522325234544,1522325234544,1522325234721
1522325234721,1522325234847,1522325234847,1522325234949
1522325234950,1522325235077,1522325235077,1522325235181
1522325235181,1522325235317,1522325235317,1522325235419
1522325235419,1522325235544,1522325235544,1522325235646
1522325235646,1522325235773,1522325235773,1522325235947
1522325235947,1522325236073,1522325236073,1522325236253
1522325236253,1522325236379,1522325236379,1522325236561
1522325236561,1522325236685,1522325236686,1522325236868
1522325236868,1522325236993,1522325236993,1522325237175
1522325237175,1522325237299,1522325237299,1522325237482
1522325237482,1522325237609,1522325237609,1522325237793
1522325237793,1522325237921,1522325237921,1522325238100
1522325238100,1522325238227,1522325238227,1522325238414
1522325238414,1522325238560,1522325238560,1522325238662
1522325238662,1522325238787,1522325238787,1522325238916
1522325238916,1522325239042,1522325239042,1522325239223
1522325239223,1522325239350,1522325239350,1522325239530
1522325239530,1522325239656,1522325239656,1522325239838
1522325239838,1522325239964,1522325239964,1522325240146
1522325240146,1522325240274,1522325240274,1522325240452
1522325240452,1522325240579,1522325240579,1522325240759
1522325240759,1522325240884,1522325240884,1522325241066
1522325241066,1522325241193,1522325241193,1522325241373
1522325241373,1522325241501,1522325241501,1522325241681
1522325241681,1522325241808,1522325241808,1522325241988
1522325241988,1522325242113,1522325242113,1522325242296
1522325242296,1522325242422,1522325242422,1522325242602
1522325242602,1522325242729,1522325242729,1522325242909
1522325242909,1522325243037,1522325243037,1522325243217
1522325243217,1522325243343,1522325243343,1522325243524
1522325243524,1522325243651,1522325243652,1522325243835
1522325243835,1522325243964,1522325243964,1522325244138
1522325244138,1522325244266,1522325244266,1522325244445
1522325244445,1522325244577,1522325244577,1522325244759
1522325244759,1522325244886,1522325244886,1522325245061
1522325245061,1522325245194,1522325245194,1522325245378
1522325245378,1522325245506,1522325245506,1522325245674
1522325245674,1522325245801,1522325245801,1522325245981
1522325245981,1522325246106,1522325246106,1522325246310
1522325246310,1522325246432,1522325246432,1522325246603
1522325246603,1522325246726,1522325246726,1522325246831
1522325246832,1522325247014,1522325247014,1522325247149
1522325247149,1522325247312,1522325247312,1522325248175
1522325248175,1522325248381,1522325248381,1522325248486
1522325248486,1522325248630,1522325248630,1522325248734
1522325248734,1522325248860,1522325248860,1522325248962
1522325248962,1522325249228,1522325249228,1522325249332
1522325249332,1522325249502,1522325249502,1522325249625
1522325249625,1522325249754,1522325249754,1522325249855
1522325249855,1522325249981,1522325249981,1522325250083
1522325250083,1522325250215,1522325250215,1522325250320
1522325250320,1522325250443,1522325250443,1522325250546
1522325250546,1522325250686,1522325250686,1522325250796
1522325250796,1522325250918,1522325250919,1522325251031
1522325251031,1522325251190,1522325251190,1522325251292
1522325251292,1522325251429,1522325251429,1522325251538
1522325251538,1522325251665,1522325251665,1522325251826
1522325251826,1522325251959,1522325251959,1522325252125
