T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326369927,1522326370065,1522326370065,1522326370207
1522326370207,1522326370345,1522326370345,1522326370486
1522326370486,1522326370623,1522326370623,1522326370765
1522326370765,1522326370903,1522326370903,1522326371044
1522326371044,1522326371182,1522326371182,1522326371323
1522326371323,1522326371461,1522326371461,1522326371602
1522326371602,1522326371740,1522326371740,1522326371881
1522326371881,1522326372019,1522326372019,1522326372160
1522326372160,1522326372298,1522326372299,1522326372439
1522326372440,1522326372578,1522326372578,1522326372719
1522326372719,1522326372857,1522326372857,1522326372998
1522326372998,1522326373136,1522326373136,1522326373277
1522326373277,1522326373415,1522326373416,1522326373557
1522326373557,1522326373695,1522326373695,1522326373837
1522326373837,1522326373976,1522326373976,1522326374117
1522326374117,1522326374255,1522326374255,1522326374397
1522326374397,1522326374536,1522326374536,1522326374677
1522326374677,1522326374815,1522326374815,1522326374956
1522326374956,1522326375094,1522326375095,1522326375235
1522326375235,1522326375373,1522326375373,1522326375514
1522326375514,1522326375652,1522326375652,1522326375793
1522326375793,1522326375931,1522326375931,1522326376072
1522326376072,1522326376210,1522326376210,1522326376351
1522326376351,1522326376489,1522326376489,1522326376630
1522326376630,1522326376768,1522326376768,1522326376909
1522326376909,1522326377047,1522326377047,1522326377188
1522326377188,1522326377326,1522326377326,1522326377467
1522326377467,1522326377606,1522326377606,1522326377747
1522326377747,1522326377885,1522326377885,1522326378026
1522326378026,1522326378164,1522326378165,1522326378305
1522326378305,1522326378451,1522326378452,1522326378593
1522326378593,1522326378730,1522326378731,1522326378871
1522326378871,1522326379009,1522326379009,1522326379150
1522326379150,1522326379288,1522326379288,1522326379429
1522326379429,1522326379567,1522326379567,1522326379708
1522326379708,1522326379846,1522326379846,1522326379987
1522326379988,1522326380126,1522326380126,1522326380267
1522326380267,1522326380405,1522326380405,1522326380545
1522326380546,1522326380683,1522326380684,1522326380825
1522326380825,1522326380963,1522326380963,1522326381104
1522326381104,1522326381242,1522326381242,1522326381383
1522326381383,1522326381521,1522326381522,1522326381662
