T1,T2,T3,T4
1522327491128,1522327491266,1522327491266,1522327491408
1522327491408,1522327491546,1522327491546,1522327491687
1522327491687,1522327491825,1522327491825,1522327491966
1522327491966,1522327492104,1522327492105,1522327492246
1522327492246,1522327492385,1522327492385,1522327492526
1522327492526,1522327492664,1522327492664,1522327492817
1522327492817,1522327492955,1522327492955,1522327493102
1522327493102,1522327493240,1522327493241,1522327493382
1522327493382,1522327493520,1522327493520,1522327493662
1522327493662,1522327493800,1522327493800,1522327493941
1522327493941,1522327494079,1522327494079,1522327494220
1522327494220,1522327494358,1522327494359,1522327494500
1522327494500,1522327494638,1522327494638,1522327494779
1522327494779,1522327494917,1522327494919,1522327495060
1522327495060,1522327495198,1522327495198,1522327495340
1522327495340,1522327495478,1522327495478,1522327495620
1522327495620,1522327495758,1522327495758,1522327495899
1522327495899,1522327496038,1522327496038,1522327496179
1522327496179,1522327496317,1522327496318,1522327496459
1522327496459,1522327496598,1522327496598,1522327496739
1522327496739,1522327496878,1522327496878,1522327497019
1522327497019,1522327497158,1522327497158,1522327497299
1522327497299,1522327497437,1522327497437,1522327497578
1522327497578,1522327497716,1522327497717,1522327497858
1522327497858,1522327497996,1522327497997,1522327498139
1522327498139,1522327498277,1522327498277,1522327498419
1522327498419,1522327498558,1522327498558,1522327498699
1522327498699,1522327498837,1522327498837,1522327498978
1522327498978,1522327499116,1522327499116,1522327499259
1522327499259,1522327499398,1522327499398,1522327499539
1522327499539,1522327499677,1522327499677,1522327499818
1522327499818,1522327499956,1522327499956,1522327500097
1522327500097,1522327500235,1522327500236,1522327500377
1522327500377,1522327500515,1522327500516,1522327500657
1522327500657,1522327500795,1522327500796,1522327500937
1522327500938,1522327501076,1522327501076,1522327501220
1522327501220,1522327501358,1522327501358,1522327501499
1522327501500,1522327501638,1522327501638,1522327501780
1522327501780,1522327501918,1522327501918,1522327502060
1522327502060,1522327502198,1522327502198,1522327502339
1522327502339,1522327502477,1522327502477,1522327502618
1522327502619,1522327502757,1522327502757,1522327502898
1522327502898,1522327503036,1522327503037,1522327503179
1522327503179,1522327503317,1522327503317,1522327503459
